OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
4830,Engineered,Don River,10452.4221191406,614.136334905371
4831,Engineered,Don River,573.632080078125,115.797841534093
4832,Engineered,Don River,272761.229980469,5670.93991836865
4833,Engineered,Don River,39575.3386230469,993.725396940521
4834,Engineered,Don River,6007.7099609375,464.425371235459
4835,Engineered,Don River,21143.8215332031,923.351447296261
4836,Engineered,Don River,925571.850830078,22470.1633110131
4837,Engineered,Don River,668249.065185547,17141.7998359499
4838,Engineered,Don River,11390.3193359375,545.980287209973
4839,Engineered,Don River,2633.67260742188,423.035149120809
4840,Engineered,Don River,144787.577148438,4954.71486603469
4841,Engineered,Don River,164.786865234375,55.3514480498039
4842,Engineered,Don River,274547.604736328,10021.8868482562
4843,Engineered,Don River,39478.2001953125,1008.07714031412
4844,Engineered,Don River,88176.7861328125,1920.31018948439
4845,Engineered,Don River,45560.4858398438,1136.31783922773
4846,Engineered,Don River,31333.2490234375,805.942616531956
4847,Engineered,Don River,54589.7690429688,1914.20115861175
4848,Engineered,Don River,197324.310546875,3215.42831622351
4849,Engineered,Don River,18155.2546386719,1302.81384320903
4850,Engineered,Don River,1237.1455078125,310.309895276687
4851,Engineered,Don River,450239.510498047,13071.8385988999
4852,Engineered,Don River,64976.8728027344,1420.75810347463
4853,Engineered,Don River,54214.4274902344,1102.24056226618
4854,Engineered,Don River,238812.248535156,5222.40562793375
4855,Engineered,Don River,502144.937255859,11292.0978519737
4856,Engineered,Don River,113893.133789062,4667.82058846387
4857,Engineered,Don River,16877.5520019531,636.850088258407
4858,Engineered,Don River,23001.9479980469,1661.98739533565
4859,Engineered,Don River,50204.8532714844,3161.88531166474
4860,Engineered,Don River,188029.656005859,4426.10938494735
4861,Engineered,Don River,41345.951171875,1101.32875531537
4862,Engineered,Don River,493246.978271484,8841.88404678212
4863,Engineered,Don River,1828.71484375,263.680412491582
4864,Engineered,Highland Creek,2848.24633789062,368.006177534482
4865,Engineered,Highland Creek,4193.7470703125,527.591132520698
4866,Engineered,Highland Creek,4082.95825195312,409.301922792635
4867,Engineered,Highland Creek,12312.12109375,503.389736950564
4868,Engineered,Highland Creek,506898.709228516,11674.7513642478
4869,Engineered,Highland Creek,23352.3034667969,1661.87391062734
4870,Engineered,Highland Creek,25967.6352539062,1647.36405882341
4871,Engineered,Highland Creek,11680.224609375,861.131444943582
4872,Engineered,Highland Creek,20664.466796875,1889.53801504749
4873,Engineered,Highland Creek,2576.03051757812,261.318966920659
4874,Engineered,Highland Creek,3378.44897460938,474.190529637513
4875,Engineered,Highland Creek,5116.53564453125,665.54825450659
4876,Engineered,Highland Creek,3596.48217773438,478.556307150728
4877,Engineered,Highland Creek,2297.58056640625,242.616475244232
4878,Engineered,Highland Creek,12879.4929199219,1253.19251752968
4879,Engineered,Highland Creek,48906.6118164062,1329.53528442911
4880,Engineered,Highland Creek,7627.3974609375,433.179995112744
4881,Engineered,Highland Creek,7646.70288085938,630.514655899612
4882,Engineered,Highland Creek,26007.240234375,1924.57970884665
4883,Engineered,Highland Creek,14117.7004394531,1240.27069623885
4884,Engineered,Highland Creek,20926.5197753906,1532.49989918077
4885,Engineered,Highland Creek,8400.48291015625,932.758797723094
4886,Engineered,Highland Creek,23981.1284179688,2130.44708308332
4887,Engineered,Highland Creek,22520.0512695312,867.300507414122
4888,Engineered,Highland Creek,9204.47387695312,898.167633072482
4889,Engineered,Highland Creek,2599.82470703125,643.333449635453
4890,Engineered,Highland Creek,1391.55908203125,365.067447488174
4891,Engineered,Highland Creek,65283.1804199219,3536.70615891105
4892,Engineered,Highland Creek,3412.9501953125,340.632374361558
4893,Engineered,Highland Creek,25444.5319824219,1980.42250786623
4894,Engineered,Highland Creek,37241.6328125,3303.38909460372
4895,Engineered,Highland Creek,2017.71923828125,248.34089602408
4896,Engineered,Highland Creek,8290.5224609375,921.777119677341
4897,Engineered,Highland Creek,316281.425048828,10123.4481453263
4898,Engineered,Highland Creek,5204.8349609375,648.953388829965
4899,Engineered,Highland Creek,3066.7783203125,375.204988927851
4900,Engineered,Highland Creek,4164.05224609375,431.576092937187
4901,Engineered,Highland Creek,6768.15185546875,565.40628909104
4902,Engineered,Highland Creek,53585.7424316406,2950.79906510724
4903,Engineered,Highland Creek,409441.660888672,14193.0411597247
4904,Engineered,Highland Creek,31296.6940917969,1613.65744482704
4905,Engineered,Highland Creek,135240.079101562,2662.13032474223
4906,Engineered,Highland Creek,10428.2485351562,937.872114114463
4907,Engineered,Highland Creek,27227.0747070312,2112.96442024296
